NN CREATED N.4
NEURONS1 = 75 		 NEURONS1 = 20 		 ACCURACY_1 = 0.869885 	 ACCURACY_2 = 0.739155 	 ACCURACY_3 = 0.930502 	 ACCURACY_OVERALL = 0.861026
NEURONS1 = 76 		 NEURONS1 = 18 		 ACCURACY_1 = 0.856628 	 ACCURACY_2 = 0.763724 	 ACCURACY_3 = 0.933134 	 ACCURACY_OVERALL = 0.864533
NEURONS1 = 77 		 NEURONS1 = 15 		 ACCURACY_1 = 0.855974 	 ACCURACY_2 = 0.752399 	 ACCURACY_3 = 0.934211 	 ACCURACY_OVERALL = 0.861789
NEURONS1 = 78 		 NEURONS1 = 6 		 ACCURACY_1 = 0.894599 	 ACCURACY_2 = 0.737044 	 ACCURACY_3 = 0.918900 	 ACCURACY_OVERALL = 0.863211
NEURONS1 = 79 		 NEURONS1 = 16 		 ACCURACY_1 = 0.858920 	 ACCURACY_2 = 0.778311 	 ACCURACY_3 = 0.927512 	 ACCURACY_OVERALL = 0.866717
NEURONS1 = 80 		 NEURONS1 = 20 		 ACCURACY_1 = 0.882160 	 ACCURACY_2 = 0.744722 	 ACCURACY_3 = 0.933014 	 ACCURACY_OVERALL = 0.867378
NEURONS1 = 81 		 NEURONS1 = 11 		 ACCURACY_1 = 0.857447 	 ACCURACY_2 = 0.771593 	 ACCURACY_3 = 0.931100 	 ACCURACY_OVERALL = 0.866006
NEURONS1 = 82 		 NEURONS1 = 2 		 ACCURACY_1 = 0.886907 	 ACCURACY_2 = 0.739731 	 ACCURACY_3 = 0.932416 	 ACCURACY_OVERALL = 0.867276
NEURONS1 = 83 		 NEURONS1 = 7 		 ACCURACY_1 = 0.868576 	 ACCURACY_2 = 0.742610 	 ACCURACY_3 = 0.932297 	 ACCURACY_OVERALL = 0.862297
NEURONS1 = 84 		 NEURONS1 = 18 		 ACCURACY_1 = 0.882324 	 ACCURACY_2 = 0.735125 	 ACCURACY_3 = 0.936005 	 ACCURACY_OVERALL = 0.866159
NEURONS1 = 85 		 NEURONS1 = 12 		 ACCURACY_1 = 0.874468 	 ACCURACY_2 = 0.769482 	 ACCURACY_3 = 0.934809 	 ACCURACY_OVERALL = 0.872307
NEURONS1 = 86 		 NEURONS1 = 20 		 ACCURACY_1 = 0.876268 	 ACCURACY_2 = 0.742994 	 ACCURACY_3 = 0.934091 	 ACCURACY_OVERALL = 0.865549
NEURONS1 = 87 		 NEURONS1 = 7 		 ACCURACY_1 = 0.879051 	 ACCURACY_2 = 0.747025 	 ACCURACY_3 = 0.934091 	 ACCURACY_OVERALL = 0.867480
NEURONS1 = 88 		 NEURONS1 = 18 		 ACCURACY_1 = 0.869067 	 ACCURACY_2 = 0.758157 	 ACCURACY_3 = 0.934211 	 ACCURACY_OVERALL = 0.867378
NEURONS1 = 89 		 NEURONS1 = 12 		 ACCURACY_1 = 0.862520 	 ACCURACY_2 = 0.769674 	 ACCURACY_3 = 0.923445 	 ACCURACY_OVERALL = 0.863821
NEURONS1 = 90 		 NEURONS1 = 10 		 ACCURACY_1 = 0.856301 	 ACCURACY_2 = 0.770441 	 ACCURACY_3 = 0.933493 	 ACCURACY_OVERALL = 0.866362
NEURONS1 = 91 		 NEURONS1 = 14 		 ACCURACY_1 = 0.869067 	 ACCURACY_2 = 0.760077 	 ACCURACY_3 = 0.933014 	 ACCURACY_OVERALL = 0.867378
NEURONS1 = 92 		 NEURONS1 = 11 		 ACCURACY_1 = 0.860884 	 ACCURACY_2 = 0.756238 	 ACCURACY_3 = 0.933014 	 ACCURACY_OVERALL = 0.863821
NEURONS1 = 93 		 NEURONS1 = 10 		 ACCURACY_1 = 0.880524 	 ACCURACY_2 = 0.753935 	 ACCURACY_3 = 0.931100 	 ACCURACY_OVERALL = 0.868496
NEURONS1 = 94 		 NEURONS1 = 13 		 ACCURACY_1 = 0.878887 	 ACCURACY_2 = 0.761996 	 ACCURACY_3 = 0.933014 	 ACCURACY_OVERALL = 0.870935
NEURONS1 = 95 		 NEURONS1 = 11 		 ACCURACY_1 = 0.857610 	 ACCURACY_2 = 0.763916 	 ACCURACY_3 = 0.925837 	 ACCURACY_OVERALL = 0.861789
NEURONS1 = 96 		 NEURONS1 = 8 		 ACCURACY_1 = 0.863502 	 ACCURACY_2 = 0.758541 	 ACCURACY_3 = 0.931699 	 ACCURACY_OVERALL = 0.864685
NEURONS1 = 97 		 NEURONS1 = 19 		 ACCURACY_1 = 0.866121 	 ACCURACY_2 = 0.754319 	 ACCURACY_3 = 0.928110 	 ACCURACY_OVERALL = 0.862856
NEURONS1 = 98 		 NEURONS1 = 19 		 ACCURACY_1 = 0.870704 	 ACCURACY_2 = 0.767754 	 ACCURACY_3 = 0.935407 	 ACCURACY_OVERALL = 0.870935
NEURONS1 = 99 		 NEURONS1 = 7 		 ACCURACY_1 = 0.877250 	 ACCURACY_2 = 0.729367 	 ACCURACY_3 = 0.934211 	 ACCURACY_OVERALL = 0.862297
NEURONS1 = 100 		 NEURONS1 = 3 		 ACCURACY_1 = 0.903437 	 ACCURACY_2 = 0.714012 	 ACCURACY_3 = 0.934211 	 ACCURACY_OVERALL = 0.866362
ROC ANALYSIS SOLUTION:		 NEURONS_1 = 63 		 NEURONS_2 = 9 		 ACCURACY = 0.872510
