NN CREATED N.5
NEURONS = 90 		 ACCURACY_1 = 0.924731 	 ACCURACY_2 = 0.666667 	 ACCURACY_3 = 0.915888 	 ACCURACY_OVERALL = 0.861538
NEURONS = 91 		 ACCURACY_1 = 0.913978 	 ACCURACY_2 = 0.733333 	 ACCURACY_3 = 0.906542 	 ACCURACY_OVERALL = 0.869231
NEURONS = 92 		 ACCURACY_1 = 0.913978 	 ACCURACY_2 = 0.733333 	 ACCURACY_3 = 0.897196 	 ACCURACY_OVERALL = 0.865385
NEURONS = 93 		 ACCURACY_1 = 0.913978 	 ACCURACY_2 = 0.733333 	 ACCURACY_3 = 0.897196 	 ACCURACY_OVERALL = 0.865385
NEURONS = 94 		 ACCURACY_1 = 0.924731 	 ACCURACY_2 = 0.733333 	 ACCURACY_3 = 0.897196 	 ACCURACY_OVERALL = 0.869231
NEURONS = 95 		 ACCURACY_1 = 0.903226 	 ACCURACY_2 = 0.750000 	 ACCURACY_3 = 0.897196 	 ACCURACY_OVERALL = 0.865385
NEURONS = 96 		 ACCURACY_1 = 0.903226 	 ACCURACY_2 = 0.733333 	 ACCURACY_3 = 0.897196 	 ACCURACY_OVERALL = 0.861538
NEURONS = 97 		 ACCURACY_1 = 0.903226 	 ACCURACY_2 = 0.733333 	 ACCURACY_3 = 0.897196 	 ACCURACY_OVERALL = 0.861538
NEURONS = 98 		 ACCURACY_1 = 0.892473 	 ACCURACY_2 = 0.750000 	 ACCURACY_3 = 0.897196 	 ACCURACY_OVERALL = 0.861538
NEURONS = 99 		 ACCURACY_1 = 0.892473 	 ACCURACY_2 = 0.750000 	 ACCURACY_3 = 0.897196 	 ACCURACY_OVERALL = 0.861538
NEURONS = 100 		 ACCURACY_1 = 0.892473 	 ACCURACY_2 = 0.750000 	 ACCURACY_3 = 0.897196 	 ACCURACY_OVERALL = 0.861538
ROC ANALYSIS SOLUTION:		 NEURONS = 87 		 ACCURACY = 0.873077


